noise_strength,eve_rate,qber_mean,iab_mean,iae_mean,skr_mean
0.0500,0.1500,0.104042,0.135438,0.237226,0.002282
0.0500,0.1575,0.111691,0.130289,0.241361,0.000000
0.0500,0.1650,0.128523,0.116728,0.253774,0.000000
0.0500,0.1725,0.122038,0.122313,0.248345,0.000000
0.0500,0.1800,0.126440,0.121927,0.258186,0.000000
0.0500,0.1875,0.130902,0.114327,0.247875,0.000000
0.0500,0.1950,0.132724,0.116532,0.254629,0.000000
0.0500,0.2025,0.133371,0.114242,0.247023,0.000000
0.0500,0.2100,0.153742,0.099099,0.251018,0.000000
0.0500,0.2175,0.136488,0.115993,0.254510,0.000000
0.0500,0.2250,0.144895,0.104614,0.253311,0.000000
0.0500,0.2325,0.155684,0.099349,0.249787,0.000000
0.0500,0.2400,0.160293,0.098739,0.258207,0.000000
0.0500,0.2475,0.156451,0.099782,0.252408,0.000000
0.0500,0.2550,0.160323,0.097760,0.249511,0.000000
0.0500,0.2625,0.167330,0.091761,0.243884,0.000000
0.0500,0.2700,0.168582,0.093245,0.250004,0.000000
0.0500,0.2775,0.170239,0.089805,0.249506,0.000000
0.0500,0.2850,0.167383,0.091892,0.254891,0.000000
0.0500,0.2925,0.177008,0.085562,0.235540,0.000000
0.0500,0.3000,0.178861,0.087463,0.249546,0.000000
0.0550,0.0000,0.047820,0.196242,0.166252,0.044809
0.0550,0.0075,0.047201,0.187941,0.161325,0.034478
0.0550,0.0150,0.056026,0.185282,0.181952,0.023572
0.0550,0.0225,0.063866,0.170902,0.188372,0.019499
0.0550,0.0300,0.056333,0.178896,0.177017,0.023198
0.0550,0.0375,0.068030,0.173697,0.202476,0.014449
0.0550,0.0450,0.065411,0.170068,0.194495,0.011901
